facture_id,fournisseur_id,date_facture,date_echeance,montant_ht,tva_montant,montant_ttc,statut,date_paiement,compte_charge,reference
INV_000001,SUPP_016,2024-01-05,2024-02-19,40429.77,8085.95,48515.72,Payée,2024-02-02,606,REF_1
INV_000002,SUPP_014,2024-01-04,2024-02-18,75376.61,15075.32,90451.93,Echue,,606,REF_2
INV_000003,SUPP_025,2024-01-19,2024-02-18,64515.29,12903.06,77418.35,Payée,2024-02-08,641,REF_3
INV_000004,SUPP_016,2024-01-22,2024-03-22,81426.68,16285.34,97712.02,Payée,2024-03-18,622,REF_4
INV_000005,SUPP_027,2024-01-10,2024-01-25,30944.17,6188.83,37133.0,Echue,,615,REF_5
INV_000006,SUPP_023,2024-01-02,2024-03-02,15522.82,3104.56,18627.38,Echue,,626,REF_6
INV_000007,SUPP_026,2024-01-25,2024-03-10,50557.35,10111.47,60668.82,Echue,,641,REF_7
INV_000008,SUPP_014,2024-01-19,2024-02-18,31894.34,6378.87,38273.21,Echue,,622,REF_8
INV_000009,SUPP_030,2024-01-26,2024-03-26,33553.44,6710.69,40264.13,Echue,,622,REF_9
INV_000010,SUPP_007,2024-01-08,2024-02-22,94629.22,18925.84,113555.06,Payée,2024-01-21,625,REF_10
INV_000011,SUPP_004,2024-02-01,2024-02-16,74455.8,14891.16,89346.96,Echue,,622,REF_11
INV_000012,SUPP_027,2024-02-27,2024-04-12,17716.99,3543.4,21260.39,Payée,2024-03-03,622,REF_12
INV_000013,SUPP_011,2024-02-16,2024-03-17,9727.06,1945.41,11672.47,Payée,2024-04-02,625,REF_13
INV_000014,SUPP_017,2024-02-01,2024-03-02,40777.52,8155.5,48933.02,Payée,2024-03-11,681,REF_14
INV_000015,SUPP_035,2024-02-05,2024-04-05,83126.71,16625.34,99752.05,Echue,,623,REF_15
INV_000016,SUPP_031,2024-02-14,2024-03-30,70857.9,14171.58,85029.48,Echue,,606,REF_16
INV_000017,SUPP_014,2024-02-28,2024-04-28,14785.44,2957.09,17742.53,Echue,,615,REF_17
INV_000018,SUPP_008,2024-02-15,2024-03-31,96180.25,19236.05,115416.3,Echue,,641,REF_18
INV_000019,SUPP_024,2024-02-03,2024-03-04,94263.76,18852.75,113116.51,Payée,2024-03-18,681,REF_19
INV_000020,SUPP_015,2024-02-20,2024-03-06,22930.21,4586.04,27516.25,Payée,2024-04-08,626,REF_20
INV_000021,SUPP_029,2024-03-25,2024-04-09,52533.84,10506.77,63040.61,Payée,2024-05-23,641,REF_21
INV_000022,SUPP_002,2024-03-25,2024-04-24,7249.86,1449.97,8699.83,Payée,2024-04-15,625,REF_22
INV_000023,SUPP_021,2024-03-14,2024-03-29,59941.27,11988.25,71929.52,Payée,2024-05-10,626,REF_23
INV_000024,SUPP_017,2024-03-03,2024-03-18,82205.08,16441.02,98646.1,Echue,,681,REF_24
INV_000025,SUPP_034,2024-03-26,2024-05-10,75459.32,15091.86,90551.18,Payée,2024-04-29,626,REF_25
INV_000026,SUPP_016,2024-03-17,2024-05-01,84719.7,16943.94,101663.64,Payée,2024-05-11,606,REF_26
INV_000027,SUPP_002,2024-03-05,2024-05-04,48391.78,9678.36,58070.14,Echue,,606,REF_27
INV_000028,SUPP_034,2024-03-11,2024-05-10,51784.96,10356.99,62141.95,Payée,2024-05-09,625,REF_28
INV_000029,SUPP_001,2024-03-06,2024-04-20,7692.87,1538.57,9231.44,Echue,,641,REF_29
INV_000030,SUPP_018,2024-03-01,2024-03-16,12794.93,2558.99,15353.92,Payée,2024-04-01,622,REF_30
INV_000031,SUPP_006,2024-04-27,2024-06-26,71389.1,14277.82,85666.92,Payée,2024-05-17,615,REF_31
INV_000032,SUPP_013,2024-04-23,2024-05-23,19797.66,3959.53,23757.19,Payée,2024-05-15,626,REF_32
INV_000033,SUPP_017,2024-04-13,2024-04-28,44974.16,8994.83,53968.99,Echue,,641,REF_33
INV_000034,SUPP_034,2024-04-18,2024-06-02,67487.19,13497.44,80984.63,Payée,2024-04-26,622,REF_34
INV_000035,SUPP_006,2024-04-07,2024-06-06,32751.73,6550.35,39302.08,Payée,2024-05-03,615,REF_35
INV_000036,SUPP_029,2024-04-01,2024-05-31,99221.43,19844.29,119065.72,Echue,,625,REF_36
INV_000037,SUPP_006,2024-04-26,2024-05-26,86017.38,17203.48,103220.86,Payée,2024-05-20,681,REF_37
INV_000038,SUPP_024,2024-04-27,2024-05-27,99197.03,19839.41,119036.44,Echue,,681,REF_38
INV_000039,SUPP_035,2024-04-15,2024-05-30,19525.3,3905.06,23430.36,Payée,2024-05-19,625,REF_39
INV_000040,SUPP_034,2024-04-22,2024-06-06,90624.6,18124.92,108749.52,Payée,2024-04-27,641,REF_40
INV_000041,SUPP_014,2024-05-16,2024-06-15,30467.38,6093.48,36560.86,Payée,2024-06-12,606,REF_41
INV_000042,SUPP_019,2024-05-15,2024-06-14,91664.95,18332.99,109997.94,Echue,,606,REF_42
INV_000043,SUPP_021,2024-05-12,2024-06-11,91033.52,18206.7,109240.22,Payée,2024-06-14,626,REF_43
INV_000044,SUPP_016,2024-05-05,2024-05-20,95589.37,19117.87,114707.24,Payée,2024-06-22,622,REF_44
INV_000045,SUPP_010,2024-05-22,2024-07-21,22016.28,4403.26,26419.54,Payée,2024-07-08,606,REF_45
INV_000046,SUPP_007,2024-05-25,2024-07-09,88930.94,17786.19,106717.13,Payée,2024-07-12,641,REF_46
INV_000047,SUPP_016,2024-05-02,2024-06-01,95299.16,19059.83,114358.99,Echue,,641,REF_47
INV_000048,SUPP_012,2024-05-19,2024-06-18,17589.09,3517.82,21106.91,Payée,2024-05-29,626,REF_48
INV_000049,SUPP_006,2024-05-09,2024-07-08,66672.89,13334.58,80007.47,Payée,2024-06-01,615,REF_49
INV_000050,SUPP_013,2024-05-06,2024-05-21,19410.19,3882.04,23292.23,Echue,,641,REF_50
INV_000051,SUPP_027,2024-06-15,2024-08-14,96991.98,19398.4,116390.38,Echue,,606,REF_51
INV_000052,SUPP_016,2024-06-05,2024-06-20,50865.17,10173.03,61038.2,Echue,,641,REF_52
INV_000053,SUPP_035,2024-06-06,2024-07-21,48296.47,9659.29,57955.76,Payée,2024-06-25,622,REF_53
INV_000054,SUPP_023,2024-06-23,2024-07-08,15456.08,3091.22,18547.3,Echue,,641,REF_54
INV_000055,SUPP_007,2024-06-03,2024-07-03,62917.91,12583.58,75501.49,Echue,,606,REF_55
INV_000056,SUPP_010,2024-06-01,2024-06-16,32056.61,6411.32,38467.93,Echue,,641,REF_56
INV_000057,SUPP_017,2024-06-26,2024-07-26,69192.24,13838.45,83030.69,Payée,2024-08-02,615,REF_57
