ecriture_id,date_ecriture,journal,numero_piece,compte_debit,compte_credit,montant,libelle,centre_cout,projet,statut
1,2024-01-06,TR,PJ_000001,641,401,12481.74,Services sous-traitance,8,,Validée
2,2024-01-24,VE,PJ_000002,626,401,23779.88,Services sous-traitance,1,,Validée
3,2024-01-16,TR,PJ_000003,623,401,2518.37,Services sous-traitance,4,,Validée
4,2024-01-19,OP,PJ_000004,623,401,17758.97,Facture fournisseur,1,PROJ_007,Brouillon
5,2024-01-01,AC,PJ_000005,606,401,33946.66,Achats matériaux,7,PROJ_010,Validée
6,2024-01-28,TR,PJ_000006,606,401,9160.27,Maintenance,1,,Validée
7,2024-01-12,TR,PJ_000007,622,401,28135.53,Facture fournisseur,9,PROJ_016,Validée
8,2024-01-20,TR,PJ_000008,606,401,44410.78,Maintenance,1,,Brouillon
9,2024-01-20,TR,PJ_000009,626,401,29243.99,Facture fournisseur,3,PROJ_018,Validée
10,2024-01-18,OP,PJ_000010,681,401,24537.88,Honoraires consultant,9,,Validée
11,2024-01-14,TR,PJ_000011,681,401,16607.29,Services sous-traitance,1,PROJ_016,Validée
12,2024-01-19,VE,PJ_000012,626,401,31998.46,Honoraires consultant,3,PROJ_002,Validée
13,2024-01-01,TR,PJ_000013,606,401,29056.74,Honoraires consultant,3,PROJ_017,Validée
14,2024-01-12,AC,PJ_000014,626,401,47052.7,Honoraires consultant,6,PROJ_009,Pointée
15,2024-01-17,OP,PJ_000015,622,401,27861.87,Maintenance,1,,Validée
16,2024-01-23,OP,PJ_000016,681,401,13789.51,Achats matériaux,9,PROJ_003,Validée
17,2024-01-24,OP,PJ_000017,626,401,10841.48,Achats matériaux,10,PROJ_017,Validée
18,2024-01-09,TR,PJ_000018,641,401,35272.96,Honoraires consultant,10,PROJ_003,Validée
19,2024-01-24,VE,PJ_000019,641,401,45705.41,Facture fournisseur,4,PROJ_001,Validée
20,2024-01-14,TR,PJ_000020,622,401,39891.74,Maintenance,2,,Validée
21,2024-01-22,VE,PJ_000021,641,401,16743.56,Honoraires consultant,6,PROJ_017,Validée
22,2024-01-06,OP,PJ_000022,623,401,15511.64,Honoraires consultant,1,PROJ_012,Pointée
23,2024-01-07,AC,PJ_000023,681,401,4724.7,Maintenance,3,PROJ_020,Validée
24,2024-01-18,VE,PJ_000024,622,401,26056.87,Facture fournisseur,8,,Validée
25,2024-01-23,VE,PJ_000025,625,401,12917.6,Facture fournisseur,5,,Brouillon
26,2024-01-15,VE,PJ_000026,626,401,12887.02,Facture fournisseur,8,PROJ_001,Pointée
27,2024-01-07,AC,PJ_000027,626,401,33027.01,Honoraires consultant,7,,Validée
28,2024-01-19,AC,PJ_000028,625,401,38013.38,Maintenance,5,,Validée
29,2024-01-20,TR,PJ_000029,615,401,9178.85,Achats matériaux,5,PROJ_001,Validée
30,2024-01-05,VE,PJ_000030,626,401,20225.98,Honoraires consultant,4,,Validée
31,2024-01-26,TR,PJ_000031,606,401,46705.1,Honoraires consultant,4,PROJ_016,Validée
32,2024-01-17,TR,PJ_000032,622,401,43426.35,Maintenance,8,PROJ_003,Validée
33,2024-01-01,OP,PJ_000033,625,401,40654.61,Maintenance,3,PROJ_008,Brouillon
34,2024-01-12,TR,PJ_000034,641,401,14061.08,Achats matériaux,3,PROJ_017,Validée
35,2024-01-26,VE,PJ_000035,615,401,34239.88,Services sous-traitance,9,PROJ_018,Validée
36,2024-01-24,AC,PJ_000036,625,401,36886.02,Facture fournisseur,4,,Validée
37,2024-01-03,TR,PJ_000037,623,401,49530.0,Achats matériaux,1,PROJ_005,Validée
38,2024-01-23,AC,PJ_000038,622,401,37668.12,Facture fournisseur,1,PROJ_020,Validée
39,2024-01-22,OP,PJ_000039,606,401,15232.94,Maintenance,9,PROJ_009,Validée
40,2024-01-14,TR,PJ_000040,622,401,34000.11,Achats matériaux,5,,Validée
41,2024-01-20,VE,FA_000041,411,706,104152.58,Facture client,5,PROJ_016,Validée
42,2024-01-13,VE,FA_000042,411,706,140330.07,Facture client,7,PROJ_014,Validée
43,2024-01-05,VE,FA_000043,411,701,113184.98,Facture client,2,PROJ_015,Validée
44,2024-01-10,VE,FA_000044,411,701,127174.94,Facture client,6,PROJ_007,Validée
45,2024-01-08,VE,FA_000045,411,706,20186.82,Facture client,10,PROJ_002,Validée
46,2024-01-05,VE,FA_000046,411,706,42651.93,Facture client,1,PROJ_020,Validée
47,2024-01-07,VE,FA_000047,411,706,148040.15,Facture client,4,PROJ_006,Validée
48,2024-01-19,VE,FA_000048,411,706,118800.57,Facture client,7,PROJ_010,Validée
49,2024-01-07,VE,FA_000049,411,701,70823.26,Facture client,2,PROJ_020,Validée
50,2024-01-09,VE,FA_000050,411,701,114189.63,Facture client,9,PROJ_017,Validée
51,2024-01-01,VE,FA_000051,411,706,41303.42,Facture client,10,PROJ_012,Brouillon
52,2024-01-13,VE,FA_000052,411,701,16042.39,Facture client,6,PROJ_011,Validée
53,2024-01-04,VE,FA_000053,411,706,87539.6,Facture client,9,PROJ_018,Validée
54,2024-01-17,VE,FA_000054,411,701,107404.82,Facture client,1,PROJ_003,Validée
55,2024-01-25,VE,FA_000055,411,706,138135.61,Facture client,8,PROJ_006,Validée
56,2024-01-28,TR,BQ_000056,512,411,42239.18,Encaissement client,4,PROJ_008,Validée
57,2024-01-26,TR,BQ_000057,512,411,60528.21,Encaissement client,5,PROJ_009,Validée
58,2024-01-04,TR,BQ_000058,401,512,71325.36,Paiement fournisseur,1,,Validée
59,2024-01-09,TR,BQ_000059,512,411,164621.05,Encaissement client,3,PROJ_006,Validée
60,2024-01-18,TR,BQ_000060,401,512,60210.45,Paiement fournisseur,9,,Validée
61,2024-01-02,TR,BQ_000061,512,411,176565.68,Encaissement client,5,PROJ_001,Validée
62,2024-01-22,TR,BQ_000062,401,512,98791.23,Paiement fournisseur,1,,Validée
63,2024-01-11,TR,BQ_000063,401,512,41184.63,Paiement fournisseur,6,,Validée
64,2024-02-27,AC,PJ_000064,606,401,42184.89,Achats matériaux,9,PROJ_001,Validée
65,2024-02-23,AC,PJ_000065,625,401,43303.76,Honoraires consultant,6,PROJ_005,Validée
66,2024-02-10,AC,PJ_000066,625,401,42557.55,Facture fournisseur,1,PROJ_013,Validée
67,2024-02-01,TR,PJ_000067,615,401,33749.18,Maintenance,8,,Validée
68,2024-02-22,OP,PJ_000068,615,401,38729.76,Maintenance,1,PROJ_005,Validée
69,2024-02-27,TR,PJ_000069,641,401,20472.4,Honoraires consultant,5,PROJ_011,Validée
70,2024-02-06,VE,PJ_000070,626,401,31054.55,Achats matériaux,2,PROJ_015,Validée
71,2024-02-02,VE,PJ_000071,606,401,17738.65,Maintenance,7,PROJ_017,Brouillon
72,2024-02-04,AC,PJ_000072,615,401,23237.67,Facture fournisseur,4,PROJ_002,Validée
73,2024-02-02,OP,PJ_000073,622,401,16773.2,Services sous-traitance,3,PROJ_016,Validée
74,2024-02-22,TR,PJ_000074,681,401,35034.54,Maintenance,8,PROJ_003,Validée
75,2024-02-18,OP,PJ_000075,622,401,30295.8,Honoraires consultant,5,PROJ_010,Validée
76,2024-02-21,AC,PJ_000076,606,401,27661.41,Maintenance,10,PROJ_017,Validée
77,2024-02-13,VE,PJ_000077,606,401,16418.35,Facture fournisseur,6,,Brouillon
78,2024-02-16,VE,PJ_000078,623,401,3523.36,Facture fournisseur,8,PROJ_020,Validée
79,2024-02-24,VE,PJ_000079,623,401,24483.89,Achats matériaux,10,,Validée
80,2024-02-07,OP,PJ_000080,626,401,34514.69,Services sous-traitance,2,PROJ_003,Validée
81,2024-02-25,TR,PJ_000081,615,401,37001.56,Facture fournisseur,1,,Validée
82,2024-02-12,AC,PJ_000082,623,401,12044.21,Facture fournisseur,4,PROJ_009,Validée
83,2024-02-15,VE,PJ_000083,615,401,29417.87,Facture fournisseur,3,PROJ_005,Validée
84,2024-02-26,OP,PJ_000084,681,401,30573.98,Services sous-traitance,6,PROJ_001,Validée
85,2024-02-21,OP,PJ_000085,681,401,8066.53,Maintenance,8,PROJ_003,Validée
86,2024-02-08,TR,PJ_000086,641,401,34999.59,Achats matériaux,4,PROJ_004,Validée
87,2024-02-22,TR,PJ_000087,626,401,13266.19,Services sous-traitance,9,PROJ_011,Validée
88,2024-02-19,AC,PJ_000088,626,401,42009.84,Achats matériaux,6,PROJ_020,Validée
89,2024-02-17,AC,PJ_000089,615,401,26727.08,Honoraires consultant,4,PROJ_003,Validée
90,2024-02-18,AC,PJ_000090,641,401,22986.26,Achats matériaux,2,PROJ_002,Validée
91,2024-02-05,AC,PJ_000091,622,401,634.19,Services sous-traitance,1,PROJ_012,Validée
92,2024-02-21,AC,PJ_000092,615,401,36677.94,Maintenance,3,,Validée
93,2024-02-22,AC,PJ_000093,681,401,2880.68,Services sous-traitance,9,PROJ_003,Validée
94,2024-02-05,VE,PJ_000094,615,401,12166.74,Maintenance,9,PROJ_018,Validée
95,2024-02-07,TR,PJ_000095,622,401,35832.23,Honoraires consultant,6,PROJ_015,Validée
96,2024-02-17,OP,PJ_000096,615,401,45028.94,Honoraires consultant,8,,Validée
97,2024-02-06,OP,PJ_000097,622,401,47021.69,Achats matériaux,4,PROJ_001,Validée
98,2024-02-07,AC,PJ_000098,626,401,28870.97,Facture fournisseur,1,PROJ_001,Validée
99,2024-02-22,AC,PJ_000099,622,401,35846.17,Achats matériaux,1,,Validée
100,2024-02-15,TR,PJ_000100,623,401,42399.39,Honoraires consultant,8,,Validée
101,2024-02-12,OP,PJ_000101,641,401,38708.16,Services sous-traitance,3,PROJ_011,Validée
102,2024-02-20,VE,PJ_000102,681,401,9489.09,Achats matériaux,10,PROJ_018,Validée
103,2024-02-15,OP,PJ_000103,623,401,36441.73,Maintenance,4,PROJ_005,Brouillon
104,2024-02-08,VE,FA_000104,411,701,101191.41,Facture client,10,PROJ_009,Validée
105,2024-02-14,VE,FA_000105,411,706,140811.38,Facture client,7,PROJ_001,Validée
106,2024-02-21,VE,FA_000106,411,706,33172.87,Facture client,6,PROJ_001,Validée
107,2024-02-23,VE,FA_000107,411,701,41835.39,Facture client,5,PROJ_015,Validée
108,2024-02-09,VE,FA_000108,411,701,38781.17,Facture client,5,PROJ_009,Validée
109,2024-02-20,VE,FA_000109,411,701,85235.38,Facture client,6,PROJ_002,Validée
110,2024-02-27,VE,FA_000110,411,701,113250.17,Facture client,3,PROJ_007,Validée
111,2024-02-21,VE,FA_000111,411,701,138078.43,Facture client,6,PROJ_018,Validée
112,2024-02-07,VE,FA_000112,411,701,146575.78,Facture client,1,PROJ_020,Validée
113,2024-02-28,VE,FA_000113,411,706,84909.76,Facture client,1,PROJ_007,Validée
114,2024-02-13,VE,FA_000114,411,701,65624.54,Facture client,8,PROJ_019,Validée
115,2024-02-17,VE,FA_000115,411,706,15116.95,Facture client,8,PROJ_019,Validée
116,2024-02-14,VE,FA_000116,411,706,109968.29,Facture client,2,PROJ_017,Validée
117,2024-02-06,VE,FA_000117,411,706,117149.88,Facture client,1,PROJ_008,Validée
118,2024-02-07,VE,FA_000118,411,706,115454.47,Facture client,10,PROJ_019,Validée
